Macao|20546.766
Monaco|19347.500
Singapore|7915.731
Hong Kong|7039.714
Gibraltar|3457.100
Bahrain|1935.907
Maldives|1454.433
Malta|1454.038
Bermuda|1308.820
Bangladesh|1265.036
Sint Maarten|1209.088
Channel Islands|870.074
West Bank and Gaza|778.202
Nauru|682.450
Barbados|664.463
Mauritius|622.962
Lebanon|594.561
St. Martin (French part)|590.533
Aruba|584.800
San Marino|556.667
Korea Rep.|527.967
Netherlands|508.544
Rwanda|494.869
India|450.419
Comoros|437.352
Burundi|423.063
Israel|402.606
Haiti|398.448
Puerto Rico|376.232
Belgium|375.564
Tuvalu|373.067
Curacao|362.644
Philippines|351.873
Japan|347.778
Sri Lanka|341.955
Grenada|317.132
Vietnam|308.127
El Salvador|307.811
Virgin Islands|306.480
Guam|304.128
Marshall Islands|295.150
St. Lucia|293.187
St. Vincent and the Grenadines|281.787
American Samoa|278.205
United Kingdom|272.898
Trinidad and Tobago|266.886
Jamaica|266.879
Cayman Islands|256.496
Pakistan|255.573
Germany|237.016
Liechtenstein|237.013
Kuwait|232.128
Antigua and Barbuda|231.845
Luxembourg|231.447
Qatar|227.322
Dominican Republic|222.873
Switzerland|214.243
Uganda|213.759
St. Kitts and Nevis|212.865
Sao Tome and Principe|212.841
Korea Dem. People's Rep.|211.701
Nigeria|209.588
Seychelles|208.354
British Virgin Islands|207.973
Gambia|207.566
Italy|205.859
Nepal|204.430
Malawi|197.519
Kosovo|168.155
Andorra|163.755
Guatemala|157.834
Micronesia Fed. Sts.|150.777
Tonga|150.028
Isle of Man|147.872
China|147.674
Indonesia|145.725
Kiribati|143.701
Togo|143.366
Czech Republic|137.176
Denmark|136.520
Cabo Verde|135.580
Thailand|135.132
Cyprus|127.657
Ghana|126.719
Poland|124.027
Moldova|123.655
France|122.578
Northern Mariana Islands|119.878
Azerbaijan|119.309
Slovak Republic|113.128
United Arab Emirates|112.442
Portugal|112.371
Cuba|110.408
Jordan|109.285
Hungary|108.043
Austria|106.749
Ethiopia|104.957
Turkey|104.914
Albania|104.871
Sierra Leone|104.700
Armenia|102.931
Slovenia|102.619
Syrian Arab Republic|99.493
Benin|99.110
Dominica|98.567
Egypt Arab Rep.|97.999
Malaysia|96.254
Costa Rica|96.079
Spain|93.105
Cambodia|90.672
Iraq|88.125
Kenya|87.324
Timor-Leste|87.176
Romania|85.129
Greece|83.479
Honduras|82.805
Macedonia|82.600
Senegal|82.328
Myanmar|81.721
Brunei Darussalam|81.347
Serbia|80.291
Morocco|80.080
Eswatini|79.492
Ukraine|77.390
French Polynesia|77.324
Cote d'Ivoire|76.399
Uzbekistan|76.134
Tunisia|74.228
Croatia|73.726
Lesotho|73.562
Burkina Faso|70.151
Ireland|69.874
Samoa|69.413
Bosnia and Herzegovina|68.496
Ecuador|66.939
Mexico|66.444
Guinea-Bissau|66.191
Bulgaria|65.180
Georgia|65.032
Tanzania|64.699
Tajikistan|64.281
Panama|55.133
Afghanistan|54.422
Yemen Rep.|53.508
Guinea|51.755
Nicaragua|51.667
Cameroon|50.885
Iran Islamic Rep.|49.831
Fiji|49.562
Liberia|49.127
Palau|47.237
Belarus|46.858
South Africa|46.754
Montenegro|46.280
Equatorial Guinea|45.194
Lithuania|45.135
Colombia|44.223
Madagascar|43.951
Zimbabwe|42.729
Djibouti|41.285
Bahamas The|39.497
Mozambique|37.728
Turks and Caicos Islands|37.312
Venezuela RB|36.253
Congo Democratic Republic|35.879
United States|35.608
Faroe Islands|35.308
Kyrgyz Republic|32.333
Latvia|31.212
Estonia|31.033
Lao|29.715
Peru|25.129
Brazil|25.040
Sweden|24.718
Chile|24.282
Angola|23.890
Somalia|23.500
Sudan|23.258
Zambia|22.995
Vanuatu|22.662
Solomon Islands|21.841
Bhutan|21.188
Uruguay|19.751
Papua New Guinea|18.220
New Zealand|18.206
Finland|18.136
Algeria|17.348
Paraguay|17.144
Niger|16.955
Belize|16.426
Argentina|16.177
Congo Rep.|15.405
New Caledonia|15.342
Saudi Arabia|15.322
Mali|15.196
Oman|14.980
Norway|14.462
Turkmenistan|12.253
Chad|11.833
Bolivia|10.202
Russian Federation|8.823
Gabon|7.859
Central African Republic|7.479
Kazakhstan|6.681
Mauritania|4.289
Botswana|4.044
Canada|4.037
Guyana|3.952
Libya|3.623
Suriname|3.612
Iceland|3.404
Australia|3.202
Namibia|3.078
Mongolia|1.980
Greenland|0.137